,country,points,price,review_sentiment,variety
201,39.0,89,40.0,-0.02,Pinot Noir
202,33.0,89,37.0,0.23,Red Blend
203,39.0,89,39.0,0.39,Red Blend
204,39.0,89,60.0,0.36,Pinot Noir
205,28.0,89,19.0,0.22,Syrah
206,28.0,89,40.0,0.45,Chardonnay
207,33.0,89,14.0,0.08,Red Blend
208,37.0,89,40.0,0.35,White Blend
209,37.0,89,36.0,0.34,White Blend
210,33.0,89,19.0,0.3,Red Blend
211,37.0,89,13.0,0.31,White Blend
212,33.0,89,30.0,-0.16,Cabernet Sauvignon
213,39.0,89,20.0,0.17,Zinfandel
214,39.0,89,30.0,0.27,Cabernet Sauvignon
215,39.0,89,50.0,0.26,Pinot Noir
216,32.0,92,24.0,0.23,Grüner Veltliner
217,39.0,92,34.0,0.21,Pinot Noir
218,37.0,92,41.0,0.15,Red Blend
219,39.0,92,52.0,0.39,Pinot Noir
220,33.0,92,215.0,0.22,Malbec
221,32.0,92,36.78122437966355,0.47,Riesling
222,39.0,92,60.0,0.45,Pinot Noir
223,32.0,92,36.78122437966355,0.18,Grüner Veltliner
224,39.0,92,125.0,0.35,Cabernet Sauvignon
225,38.0,92,36.78122437966355,0.01,Bordeaux-style Red Blend
226,33.0,92,30.0,0.06,Malbec
227,35.0,87,20.0,0.16,Cabernet Sauvignon
228,39.0,87,15.0,0.28,Cabernet Sauvignon
229,35.0,87,19.0,0.12,Cabernet Sauvignon
230,37.0,87,36.78122437966355,0.02,Red Blend
231,39.0,87,28.0,0.3,Sangiovese
232,39.0,87,14.0,0.33,Chardonnay
233,37.0,87,36.78122437966355,0.24,Nebbiolo
234,37.0,87,56.0,-0.0,Nebbiolo
235,39.0,87,24.0,0.26,Zinfandel
236,23.0,87,7.0,0.4,Chardonnay
237,38.0,87,30.0,0.15,Pinot Noir
238,25.0,87,18.0,0.21,White Blend
239,37.0,87,20.0,0.16,Nebbiolo
240,37.0,87,18.0,0.13,Nebbiolo
241,30.0,87,18.0,0.29,Syrah
242,39.0,87,40.0,0.39,Cabernet Sauvignon
243,37.0,87,36.78122437966355,0.15,Nebbiolo
244,39.0,87,28.0,0.3,Cabernet Sauvignon
245,38.0,86,36.78122437966355,0.34,Bordeaux-style White Blend
246,38.0,86,36.78122437966355,0.38,Bordeaux-style White Blend
247,35.0,86,18.0,0.17,Merlot
248,35.0,86,35.0,0.12,Cabernet Sauvignon
249,35.0,86,18.0,0.57,Chardonnay
250,39.0,86,16.0,0.15,White Blend
251,39.0,86,34.0,0.12,Zinfandel
252,39.0,86,40.0,-0.16,Red Blend
253,35.0,86,15.0,0.43,Gewürztraminer
254,38.0,86,42.0,0.4,Champagne Blend
255,35.0,83,35.0,-0.03,Pinot Noir
256,38.0,83,16.0,0.14,Rosé
257,38.0,82,11.0,0.0,Rosé
258,34.0,82,13.0,0.14,Sparkling Blend
259,38.0,82,18.0,-0.13,Pinot Gris
260,39.0,82,48.0,-0.02,Zinfandel
261,34.0,82,11.0,0.15,Sparkling Blend
262,35.0,81,20.0,-0.05,Pinot Noir
263,35.0,80,19.0,-0.5,Chardonnay
264,31.0,97,775.0,-0.04,Riesling
265,37.0,97,150.0,0.0,Nebbiolo
266,39.0,96,68.0,0.4,Chardonnay
267,38.0,96,630.0,0.27,Chardonnay
268,31.0,96,365.0,0.08,Riesling
269,39.0,96,68.0,0.1,Chardonnay
270,38.0,95,350.0,0.25,Pinot Noir
271,31.0,95,66.0,0.07,Riesling
272,38.0,95,110.0,0.42,Chardonnay
273,37.0,95,60.0,0.36,Nebbiolo
274,39.0,95,200.0,0.44,Cabernet Sauvignon
275,38.0,95,380.0,0.28,Chardonnay
276,39.0,95,48.0,0.13,Pinot Noir
277,37.0,88,21.0,0.05,Chardonnay
278,39.0,88,160.0,0.05,Cabernet Sauvignon
279,37.0,88,23.0,0.13,Sauvignon Blanc
280,37.0,88,10.0,0.19,White Blend
281,37.0,88,15.0,0.11,Sauvignon Blanc
282,39.0,88,19.0,0.21,Sauvignon Blanc
283,37.0,88,40.0,-0.03,Sangiovese
284,37.0,88,18.0,0.36,Pinot Grigio
285,25.0,88,36.78122437966355,0.15,White Blend
286,20.0,88,18.0,0.45,Nebbiolo
287,37.0,88,15.0,0.27,White Blend
288,35.0,88,12.0,0.09,Merlot
289,37.0,88,11.0,0.24,White Blend
290,35.0,88,15.0,-0.03,Cabernet Sauvignon
291,37.0,88,9.0,0.19,Chardonnay
292,37.0,88,30.0,0.14,Gewürztraminer
293,39.0,88,18.0,0.4,Sauvignon Blanc
294,39.0,88,34.0,0.34,Merlot
295,39.0,88,17.0,0.38,Sauvignon Blanc
296,39.0,88,25.0,0.14,Pinot Noir
297,37.0,88,15.0,0.28,White Blend
298,35.0,88,12.0,0.35,Cabernet Sauvignon
299,35.0,88,14.0,0.35,Chardonnay
300,39.0,87,12.0,0.42,Sauvignon Blanc
301,35.0,87,11.0,0.31,Chardonnay
302,35.0,87,12.0,0.18,Merlot
303,37.0,87,36.78122437966355,0.06,White Blend
304,39.0,85,16.0,0.33,Zinfandel
305,35.0,85,15.0,0.2,Pinot Noir
306,35.0,85,13.0,0.14,Sauvignon Blanc
307,35.0,85,11.0,-0.01,Syrah
308,39.0,85,15.0,0.27,Red Blend
309,39.0,85,45.0,0.04,Syrah
310,38.0,85,30.0,0.0,Champagne Blend
311,35.0,85,14.0,0.02,Chardonnay
312,39.0,85,20.0,0.21,Gewürztraminer
313,39.0,85,20.0,0.37,Cabernet Franc
314,39.0,85,12.0,0.18,Cabernet Sauvignon
315,39.0,85,14.0,0.42,Riesling
316,32.0,85,36.78122437966355,0.24,Red Blend
317,38.0,89,20.0,0.35,Bordeaux-style Red Blend
318,38.0,89,36.78122437966355,0.17,Bordeaux-style White Blend
319,39.0,89,30.0,0.2,Merlot
320,32.0,89,23.0,0.32,Grüner Veltliner
321,39.0,89,30.0,0.08,White Blend
322,39.0,89,18.0,0.36,Rosé
323,34.0,89,18.0,0.12,Tempranillo
324,39.0,89,35.0,0.2,Sparkling Blend
325,32.0,89,17.0,0.48,Grüner Veltliner
326,39.0,89,42.0,-0.08,Syrah
327,39.0,89,30.0,0.17,Sauvignon Blanc
328,39.0,89,24.0,0.2,Tempranillo
329,39.0,89,16.0,0.07,Riesling
330,37.0,89,89.0,-0.16,Nebbiolo
331,39.0,89,54.0,0.11,Bordeaux-style Red Blend
332,39.0,89,38.0,-0.0,Cabernet Sauvignon
333,39.0,89,35.0,0.11,Cabernet Franc
334,39.0,88,32.0,0.1,Zinfandel
335,32.0,88,12.0,-0.2,Grüner Veltliner
336,39.0,88,20.0,0.19,Cabernet Sauvignon
337,37.0,92,39.0,0.2,Chardonnay
338,38.0,92,36.78122437966355,0.3,Champagne Blend
339,37.0,92,35.0,0.07,Sangiovese
340,38.0,92,36.78122437966355,-0.07,Chardonnay
341,38.0,92,69.0,0.21,Champagne Blend
342,39.0,92,40.0,0.42,Chardonnay
343,39.0,92,23.0,0.27,Sparkling Blend
344,39.0,92,45.0,0.24,Pinot Noir
345,37.0,92,50.0,0.17,Sparkling Blend
346,38.0,92,100.0,0.35,Champagne Blend
347,39.0,92,50.0,0.25,Pinot Noir
348,38.0,92,66.0,0.17,Chardonnay
349,38.0,92,60.0,0.38,Champagne Blend
350,31.0,92,115.0,0.18,Riesling
351,37.0,92,69.0,0.18,Red Blend
352,38.0,92,36.78122437966355,0.4,Chardonnay
353,39.0,92,65.0,-0.06,Pinot Noir
354,31.0,92,42.0,0.18,Riesling
355,31.0,92,27.0,0.09,Riesling
356,38.0,92,70.0,0.06,Champagne Blend
357,38.0,92,73.0,0.39,Pinot Noir
358,38.0,92,72.0,0.37,Pinot Noir
359,36.0,92,34.0,0.05,Portuguese Red
360,38.0,92,36.78122437966355,0.17,Champagne Blend
361,39.0,92,130.0,0.09,Cabernet Sauvignon
362,39.0,92,88.0,0.13,Red Blend
363,38.0,92,65.0,0.29,Bordeaux-style Red Blend
364,38.0,92,36.78122437966355,0.19,Champagne Blend
365,39.0,87,45.0,0.1,Bordeaux-style Red Blend
366,39.0,87,60.0,0.12,Pinot Noir
367,38.0,87,13.0,0.22,Rhône-style Red Blend
368,39.0,87,13.0,0.1,Cabernet Sauvignon
369,37.0,87,15.0,0.2,White Blend
370,37.0,87,18.0,0.39,Pinot Grigio
371,34.0,87,19.0,0.27,Sparkling Blend
372,32.0,87,18.0,0.23,Grüner Veltliner
373,39.0,87,30.0,0.23,Sangiovese
374,39.0,87,35.0,-0.05,Red Blend
375,39.0,87,12.0,0.2,Chardonnay
376,39.0,87,18.0,0.3,Chardonnay
377,39.0,87,30.0,-0.12,Cabernet Franc
378,39.0,87,17.0,0.34,Pinot Noir
379,38.0,87,20.0,0.01,Rosé
380,34.0,87,11.0,0.12,Rosé
381,39.0,87,19.0,0.26,Sauvignon Blanc
382,38.0,87,15.0,0.17,Rhône-style Red Blend
383,34.0,87,16.0,0.07,Tempranillo
384,37.0,87,12.0,0.23,White Blend
385,39.0,87,28.0,0.14,Syrah
386,39.0,87,28.0,0.27,Tempranillo
387,39.0,91,65.0,-0.1,Red Blend
388,39.0,91,48.0,0.44,Chardonnay
389,38.0,91,70.0,0.25,Champagne Blend
390,38.0,91,59.0,0.04,Champagne Blend
391,39.0,91,90.0,0.0,Cabernet Sauvignon
392,35.0,91,35.0,0.07,Merlot
393,39.0,91,75.0,-0.02,Pinot Noir
394,39.0,91,55.0,-0.03,Pinot Noir
395,39.0,91,55.0,0.19,Pinot Noir
396,38.0,91,60.0,0.3,Pinot Noir
397,39.0,91,55.0,0.16,Pinot Noir
398,39.0,91,65.0,0.21,Pinot Noir
399,39.0,91,35.0,0.22,Syrah
400,39.0,91,49.0,0.38,Chardonnay
401,39.0,91,55.0,0.2,Pinot Noir
402,38.0,91,42.0,0.28,Champagne Blend
403,39.0,91,45.0,0.17,Pinot Noir
404,35.0,91,24.0,0.25,Syrah
405,39.0,91,50.0,0.15,Sparkling Blend
406,39.0,91,50.0,0.12,Pinot Noir
407,39.0,91,50.0,0.06,Pinot Noir
408,39.0,91,38.0,0.17,Cabernet Sauvignon
409,31.0,91,22.0,0.27,Riesling
410,39.0,91,50.0,0.24,Bordeaux-style Red Blend
411,39.0,91,110.0,-0.09,Cabernet Sauvignon
412,39.0,91,45.0,0.32,Pinot Noir
413,39.0,93,42.0,0.35,Pinot Noir
414,39.0,93,60.0,0.08,Pinot Noir
415,39.0,93,42.0,0.2,Pinot Noir
416,39.0,93,75.0,0.11,Cabernet Sauvignon
417,39.0,93,54.0,-0.08,Red Blend
418,39.0,93,85.0,0.09,Cabernet Sauvignon
419,39.0,93,50.0,0.12,Chardonnay
420,39.0,93,150.0,0.05,Sangiovese
421,39.0,93,85.0,0.08,Pinot Noir
422,37.0,93,90.0,0.09,Nebbiolo
423,39.0,93,35.0,-0.11,Chardonnay
424,39.0,93,46.0,0.46,Zinfandel
425,38.0,93,20.0,0.29,Rosé
426,33.0,93,42.0,0.08,Malbec
427,38.0,93,40.0,0.43,Rosé
428,39.0,93,75.0,0.27,Cabernet Sauvignon
429,34.0,93,88.0,0.23,Tempranillo
430,39.0,93,40.0,0.15,Pinot Noir
431,39.0,93,25.0,0.14,White Blend
432,39.0,93,45.0,0.03,Syrah
433,39.0,93,50.0,0.11,Pinot Noir
434,39.0,93,48.0,0.07,Pinot Noir
435,39.0,93,62.0,0.52,Syrah
436,39.0,93,100.0,0.22,Red Blend
437,39.0,93,53.0,0.39,Cabernet Sauvignon
438,33.0,93,55.0,0.08,Malbec
439,39.0,93,70.0,0.08,Cabernet Sauvignon
440,39.0,89,38.0,0.36,Chardonnay
441,39.0,89,50.0,0.43,Syrah
442,38.0,89,14.0,-0.08,Bordeaux-style Red Blend
443,38.0,89,11.0,-0.11,Rosé
444,38.0,89,14.0,0.32,Bordeaux-style Red Blend
445,38.0,89,37.0,0.17,Bordeaux-style Red Blend
446,39.0,89,17.0,0.31,Rosé
447,38.0,89,15.0,0.31,Bordeaux-style Red Blend
448,39.0,89,13.0,0.28,Rosé
449,39.0,89,18.0,0.0,White Blend
450,39.0,89,26.0,0.15,Gewürztraminer
451,39.0,89,18.0,0.37,Merlot
452,39.0,89,32.0,0.3,Pinot Noir
453,32.0,89,18.0,0.11,Grüner Veltliner
454,39.0,89,25.0,0.35,Chardonnay
455,32.0,89,20.0,0.19,Sauvignon Blanc
